"Species","Dataset","L.Occ","R.Occ","Fire.Included","Type","Mod.ID","deltaAIC","Weight","Rsquared","Intercept","Elevation.m","Elevation.m2","Data.Type.nofi","Data.Type.Elevation.m.nofi","Data.Type.Elevation.m2.nofi","Resurvey.Burned.fi","Resurvey.Unburned.fi","Elevation.m.Res.Burn.fi","Elevation.m.Res.Unburn.fi","Elevation.m2.Res.Burn.fi","Elevation.m2.Res.Unburn.fi"
"RUPA",21,33,22,"No","Unavg","Mod.31",1.92951420933639,0.148487871677657,0.115565260735198,-7.49810947081767,0.0137856877403166,-7.75501492837299e-06,3.19691341081212,-0.00829410727387164,4.27247328953761e-06,NA,NA,NA,NA,NA,NA
"RUPA",21,33,22,"No","Unavg","Mod.6",0.434635295747455,0.313544952672166,0.104051087774556,-5.86357241546581,0.00960042404680546,-5.57728930998832e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",21,33,22,"No","Unavg","Mod.7",0,0.389654475967088,0.110273520280505,-5.66559877109306,0.00962036554832378,-5.58903169173786e-06,-0.451530136884701,NA,NA,NA,NA,NA,NA,NA,NA
"RUPA",21,33,22,"No","Avg",NA,NA,NA,NA,-6.01555769077366,0.0102526785945546,-5.90879355989035e-06,0.267516839960159,-0.00127343628512761,6.34410465563076e-07,0,0,0,0,0,0
"RUPE",21,23,25,"No","Unavg","Mod.6",0,0.72134311374843,0.0449220497589548,-7.31705803986591,0.00838989767073139,-3.32517147387242e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",21,23,25,"No","Unavg","Mod.7",1.90226736677999,0.27865688625157,0.0451973399352622,-7.3655878043096,0.00839101738478699,-3.32569088348236e-06,0.0943031903107775,NA,NA,NA,NA,NA,NA,NA,NA
"RUPE",21,23,25,"No","Avg",NA,NA,NA,NA,-7.33058119291631,0.00839020968676362,-3.32531621093702e-06,0.0262782333755905,0,0,0,0,0,0,0,0
"RUSP",21,15,19,"No","Unavg","Mod.2",0,0.48087295296033,0.0437316627086295,-1.66404387452043,-0.00140403613988755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",21,15,19,"No","Unavg","Mod.3",1.48403798536907,0.228968424890395,0.0456038697959998,-1.7977212676668,-0.00140502637681848,NA,0.255169740781204,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",21,15,19,"No","Unavg","Mod.6",1.01035071556703,0.290158622149276,0.0473226797831166,-2.55570223140134,0.00070654204800681,-1.03531266094842e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUSP",21,15,19,"No","Avg",NA,NA,NA,NA,-1.95337413693306,-0.000791860413940149,-3.00404895194495e-07,0.0584258136263626,0,0,0,0,0,0,0,0
"SOSI",21,48,19,"No","Unavg","Mod.15",1.85775381924492,0.283152620734993,0.145738048398393,-9.55397865462287,0.0114421526414257,-3.83436558151358e-06,-1.53721998703967,0.000328526950185526,NA,NA,NA,NA,NA,NA,NA
"SOSI",21,48,19,"No","Unavg","Mod.7",0,0.716847379265007,0.145421265470831,-9.64982753080146,0.0114814144976569,-3.8141873652348e-06,-1.07223004344898,NA,NA,NA,NA,NA,NA,NA,NA
"SOSI",21,48,19,"No","Avg",NA,NA,NA,NA,-9.62268767031699,0.0114702974001701,-3.8199008800559e-06,-1.2038931645921,9.30232669271061e-05,0,0,0,0,0,0,0
"SPBE",21,17,35,"Yes","Unavg","Mod.7",0,1,0.128300748764624,-4.04162642078917,0.00502989249937411,-3.71345348145038e-06,NA,NA,NA,1.33520539584816,0.747730832710121,NA,NA,NA,NA
"SPBE",21,17,35,"Yes","Avg",NA,NA,NA,NA,-4.04162642078917,0.00502989249937411,-3.71345348145038e-06,0,0,0,1.33520539584816,0.747730832710121,0,0,0,0
"TITR",21,34,39,"No","Unavg","Mod.6",0,0.688490888111789,0.0517453896682867,-2.53133754354963,0.00232436165432565,-1.7004005977081e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",21,34,39,"No","Unavg","Mod.7",1.58614698845673,0.311509111888211,0.0526146666367365,-2.61492282396169,0.00232670039247901,-1.70182605271567e-06,0.161069695169889,NA,NA,NA,NA,NA,NA,NA,NA
"TITR",21,34,39,"No","Avg",NA,NA,NA,NA,-2.55737512001772,0.00232509019257074,-1.70084463993155e-06,0.0501746776944769,0,0,0,0,0,0,0,0
"TRBO",21,10,26,"No","Unavg","Mod.15",0.614663806977376,0.346953156195407,0.200334209767688,-5.64810275543618,0.0088702540060313,-6.70497547452455e-06,2.66748146838883,-0.00237065269123225,NA,NA,NA,NA,NA,NA,NA
